source_identity_key,historical_product_title,historical_variant_title,material,affected_raw_rows,absolute_unit_magnitude,absolute_sales_magnitude,review_disposition,canonical_variant_id,canonical_product_title,canonical_variant_title,evidence_basis,review_note
0|3003070|ZONIN PRIMO AMORE MOSCATO PUGLIA IGT|750ML,Zonin Primo Amore Moscato Puglia IGT,750ML,true,9,10.0000,117.27,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3003424|SOUTHERN TIER VODKA MADRAS|4 PACK,Southern Tier Vodka Madras,4 Pack,true,8,8.0000,111.92,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3003424|SOUTHERN TIER VODKA MADRAS|4PK 12OZ CANS,Southern Tier Vodka Madras,4pk-12oz Cans,true,7,16.0000,215.63,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3004074|ARBOR MIST RASPBERRY PINK MOSCATO|1.5L,Arbor Mist Raspberry Pink Moscato,1.5L,true,6,6.0000,59.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3005011|WOODINVILLE STRAIGHT BOURBON WHISKEY|750ML,Woodinville Straight Bourbon Whiskey,750ML,true,11,12.0000,475.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3005013|WOODINVILLE STRAIGHT RYE WHISKEY|750ML,Woodinville Straight Rye Whiskey,750ML,true,8,12.0000,491.37,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3005365|PENELOPE FOUR GRAIN BARREL STRENGTH STRAIGHT BOURBON|750ML,Penelope Four Grain Barrel Strength Straight Bourbon,750ML,true,6,6.0000,389.65,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3006147|MILAM AND GREENE PORT CASK STRAIGHT RYE|750ML,Milam & Greene Port Cask Straight Rye,750ML,true,2,2.0000,105.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3006243|HUDSON WHISKEY NY BRIGHT LIGHTS BIG BOURBON|750ML,"Hudson Whiskey NY Bright Lights, Big Bourbon",750ML,true,3,3.0000,125.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3006244|HUDSON WHISKEY NY DO THE RYE THING|750ML,Hudson Whiskey NY Do The Rye Thing,750ML,true,6,9.0000,343.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3006285|VOLCAN DE MI TIERRA REPOSADO|750ML,Volcan De Mi Tierra Reposado,750ML,true,3,3.0000,188.47,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3006449|MILAM AND GREENE SINGLE BARREL STRAIGHT|750ML,Milam & Greene Single Barrel Straight,750ML,true,2,2.0000,139.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3009333|BAREFOOT BRIGHT AND BREEZY CHARDONNAY|750ML,Barefoot Bright & Breezy Chardonnay,750ML,true,9,12.0000,83.19,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3009334|BAREFOOT BRIGHT AND BREEZY PG|750ML,Barefoot Bright & Breezy Pinot Grigio,750ML,true,11,12.0000,83.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3010086|BLACK BOX BRILLIANT CAB|3L,Black Box Brilliant Cabernet Sauvignon,3L,true,6,6.0000,119.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3010636|BUSHMILLS PROHIBITION|750ML,BUSHMILLS  PROHIBITION,750ML,true,31,36.0000,717.65,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3010650|FISHERS ISLAND LEMONADE 8 PACK 2.0|12OZ,Fishers Island Lemonade 8 Pack 2.0,12oz,true,1,1.0000,29.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3010650|FISHERS ISLAND LEMONADE 8 PACK 2.0|8PK 12OZ CANS,Fishers Island Lemonade 8 Pack 2.0,8pk-12oz Cans,true,2,2.0000,59.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3011080|COOPERSTOWN DISTILLERY HALL OF CHAMPIONS|750ML,"Cooperstown Distillery, Hall Of Champions",750ML,true,6,6.0000,344.85,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3011498|CHICKEN COCK KENTUCKY STRAIGHT BOURBON|750ML,Chicken Cock Kentucky Straight Bourbon,750ML,true,5,6.0000,359.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3011499|CHICKEN COCK KENTUCKY STRAIGHT RYE WHISKEY|750ML,Chicken Cock Kentucky Straight Rye Whiskey,750ML,true,6,6.0000,359.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3011511|TEQUILA KOMOS REPOSADO ROSA|750ML,Tequila Komos Reposado Rosa,750ML,true,1,1.0000,108.00,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3011871|VIBE BY VENDANGE STRAWBERRY LIMEADE|500ML,Vibe by Vendange Strawberry Limeade,500ML,true,10,12.0000,35.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3012337|HIGH NOON TEQUILA VARIETY PACK|12OZ,High Noon Tequila Variety Pack,12oz,true,1,1.0000,21.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,Not equivalent to High Noon Fiesta Pack 41193000796235.
0|3014125|ORIN SWIFT ABSTRACT RED|750ML,Orin Swift Abstract Red,750ML,true,10,12.0000,479.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3014259|BANFI BELNERO PROPER RED RESERVE|750ML,Banfi belnero proper red reserve,750ML,true,12,12.0000,323.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3014391|VEUVE CLICQUOT RICH ROSE|750ML,Veuve Clicquot Rich Rose,750ML,true,3,3.0000,246.47,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3014701|HIGH NOON TEQUILA VARIETY 8 PACK|12OZ,High Noon Tequila Variety 8 Pack,12oz,true,23,27.0000,593.73,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,Not equivalent to High Noon Fiesta Pack 41193000796235.
0|3014701|HIGH NOON TEQUILA VARIETY 8 PACK|8PK 12OZ CANS,High Noon Tequila Variety 8 Pack,8pk-12oz Cans,true,17,18.0000,395.82,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,Not equivalent to High Noon Fiesta Pack 41193000796235.
0|3014833|ESTANCIA CHARDONNAY CALIFORNIA|750ML,Estancia Chardonnay California,750ML,true,11,12.0000,160.27,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3015057|CHICKEN COCK SMALL BATCH BOURBON|750ML,Chicken cock small batch bourbon,750ML,true,6,6.0000,419.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3015563|GARRISON BROTHERS BALMORHEA TEXAS STRAIGHT|750ML,Garrison Brothers Balmorhea Texas Straight,750ML,true,1,1.0000,180.00,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3015848|JACK DANIEL S NO. 7 WITH CHERRY|12OZ,Jack Daniel's No. 7 With  Cherry,12oz,true,9,11.0000,140.31,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3015848|JACK DANIEL S NO. 7 WITH CHERRY|355ML,Jack Daniel's No. 7 With  Cherry,355ML,true,3,3.0000,38.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3015848|JACK DANIEL S NO. 7 WITH CHERRY|4PK 12OZ CANS,Jack Daniel's No. 7 With  Cherry,4pk-12oz Cans,true,13,15.0000,192.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3015862|ARGIANO TOSCANA NON CONFUNDITUR|750ML,Argiano Toscana Non Confunditur,750ML,true,11,12.0000,237.45,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3016059|DOC HOLLIDAY 7YRS SINGLE BARREL CASK STRENGTH BOURBON|750ML,Doc Holliday 7Yrs Single Barrel Cask Strength Bourbon,750ML,true,1,2.0000,242.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3016059|DOC HOLLIDAY STRAIGHT 7 YR BOURBON|750ML,Doc Holliday Straight 7 Yr Bourbon,750ML,true,4,4.0000,439.96,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|3016652|SKYSIDE CAB|750ML,Skyside Cabernet Sauvignon,750ML,true,43,59.0000,820.49,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|606163|PINNACLE WHIPPED CREAM VODKA|1L,PINNACLE WHIPPED CREAM VODKA,1L,true,12,12.0000,199.82,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|634648|MAKER S MARK THE HEART RELEASE|750ML,MAKER'S MARK THE HEART RELEASE,750ML,true,1,1.0000,119.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|644817|ELIJAH CRAIG 11YRS 2M BARREL PROOF|750ML,ELIJAH CRAIG 11YRS 2M BARREL PROOF,750ML,true,3,3.0000,389.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|644817|ELIJAH CRAIG STRAIGHT BARREL PROOF 10 YR 118.2|750ML,Elijah Craig Straight Barrel Proof 10 yr 118.2,750ML,true,5,6.0000,489.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|9001741|CLARENDELLE BORDEAUX WHITE|750ML,Clarendelle Bordeaux White,750ML,true,12,12.0000,225.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|9087722|BLACK BOX RIESLING|3L,Black Box Riesling,3L,true,18,18.0000,359.82,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|9100905|DON MIGUEL GASCON MALBEC RESERVA|750ML,Don Miguel Gascon Malbec Reserva,750ML,true,6,6.0000,126.45,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|9240897|19 CRIMES THE BANISHED DARK RED SOUTH EASTERN AUSTRALIA|750ML,19 Crimes The Banished Dark Red South Eastern Australia,750ML,true,1,1.0000,10.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0|9240897|19 CRIMES THE BANISHED DARK RED|750ML,19 Crimes The Banished Dark Red,750ML,true,20,22.0000,235.37,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||19 CRIMES MONSTER CAB|750ML,19 Crimes Monster Cabernet Sauvignon,750ML,true,10,12.0000,131.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||19 CRIMES MONSTERS RED BLEND|750ML,19 Crimes Monsters Red Blend,750ML,true,12,12.0000,130.79,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||99 BANANA|50ML,99 Banana,50ML,true,8,24.0000,23.76,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ALLOCATED BOURBON|,Allocated Bourbon,,true,1,1.0000,660.00,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||AMARO MONTENEGRO|,Amaro montenegro,,true,1,1.0000,47.00,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ARIZONA HARD VODKA TEA 8 PACK|12OZ,Arizona Hard Vodka Tea 8  Pack,12oz,true,2,2.0000,39.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ARIZONA HARD VODKA TEA 8 PACK|8PK 12OZ CANS,Arizona Hard Vodka Tea 8  Pack,8pk-12oz Cans,true,4,4.0000,79.96,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BABICH WINES SB MARLBOROUGH|750ML,Babich Wines Sauvignon Blanc Marlborough,750ML,true,21,24.0000,367.77,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BACCHUS ROSSO PICENO CIU CIU|750ML,Bacchus Rosso Piceno Ciu Ciu,750ML,true,9,11.0000,153.89,MAP,41318429589579,Bacchus Rosso Piceno Ciu Ciu,750ML,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||BAG|,Bag,,true,1,1.0000,3.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BANFI LA PETTEGOLA VERMENTINO|750ML,Banfi La Pettegola Vermentino,750ML,true,2,2.0000,33.98,MAP,41318441189451,Banfi La Pettegola Vermentino,750ML,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||BAR WATER VODKA BLUEBERRY|1L,Bar Water Vodka Blueberry,1L,true,27,28.0000,246.72,MAP,42671537684555,Bar Water Vodka Blueberry,1L,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||BARTENURA LYCHEE MOSCATO|4PK 250ML CANS,Bartenura Lychee Moscato,4pk-250ML Cans,true,11,11.0000,175.89,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BATASIOLO BARBERA D ALBA|750ML,Batasiolo Barbera D'Alba,750ML,true,16,19.0000,360.81,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BATASIOLOASBARBERA D ALBA|750ML,BatasioloÃŠBarbera D'Alba,750ML,true,4,5.0000,94.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BAUCHANTS|,Bauchants,,true,1,1.0000,26.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BEZEL CHARDONNAY|750ML,Bezel Chardonnay,750ML,true,3,6.0000,149.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BILLS GLASSES W JACK DANIELS 750 ML|,Bills Glasses w Jack Daniels  750 ml,,true,1,1.0000,31.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BOTA BOX BREEZE SAUV BLANC|,Bota box breeze sauv blanc,,true,1,1.0000,19.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BOTA BOX BREEZE SB|,Bota box breeze SB,,true,1,1.0000,19.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BOTA BOX BREEZE SUA BLANC|,Bota box breeze sua blanc,,true,1,1.0000,19.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BOTA BOX DRY ROSE|3L,Bota Box Dry Rose,3L,true,23,24.0000,479.76,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BRADY S IRISH CREAM|1L,Brady's Irish Cream,1L,true,12,12.0000,179.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BRILLA|,Brilla,,true,1,1.0000,5.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||BUFFALO HOUSE GIFT CARD|BUFFALO HOUSE GIFT CARD,Buffalo House Gift Card,Buffalo House Gift Card,true,10,13.0000,0.00,EXCLUDE,,,,owner_approved_non_merchandise_exclusion,Excluded from canonical beverage sales.
0||CALUMET|,Calumet,,true,1,1.0000,99.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CAMILLO MONTORI MONTEPULCIANO|750ML,Camillo Montori Montepulciano,750ML,true,4,4.0000,55.96,MAP,41318441287755,Camillo Montori Montepulciano,750ML,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||CAPARZO BRUNELLO DI MONTALCINO|750ML,Caparzo Brunello di Montalcino,750ML,true,3,3.0000,144.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CASA AZUL ORGANIC BLANCO TEQUILA 100 PURO DE AGAVE|750ML,Casa Azul Organic Blanco Tequila 100% Puro De Agave,750ML,true,1,2.0000,89.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CASA AZUL ORGANIC BLANCO TEQUILA|750ML,Casa Azul Organic Blanco Tequila,750ML,true,4,4.0000,173.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CASA AZUL TEQUILA SODA VARIETY PACK|12OZ,Casa Azul Tequila Soda Variety Pack,12oz,true,3,3.0000,65.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||COELUS JOVEN TEMPRANILLO|750ML,Coelus Joven Tempranillo,750ML,true,11,12.0000,155.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||COLONEL E.H. TAYLOR SMALL BATCH BOURBON|750ML,Colonel E.H. Taylor Small Batch Bourbon,750ML,true,1,3.0000,269.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||COLONEL E.H. TAYLOR STRAIGHT RYE|750ML,Colonel E.H. Taylor Straight Rye,750ML,true,3,3.0000,389.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CONDESA GIN PRICKLY PEAR AND ORANGE BLOSSOM GIN|750ML,Condesa Gin Prickly Pear & Orange Blossom Gin,750ML,true,3,3.0000,119.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||COOPER AND THIEF BOURBON BARREL AGED RED|750ML,Cooper & Thief Bourbon Barrel Aged Red,750ML,true,9,12.0000,342.39,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CUSTOM SALE|,Custom sale,,true,10,12.0000,622.21,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||CUTWATER SPIRITS RED WHITE AND BLUE 12 PACK|200ML,Cutwater Spirits Red White and Blue 12 Pack,200ML,true,3,4.0000,106.38,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DECANTERS|,Decanters,,true,2,3.0000,73.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DEEP EDDY VODKA SODA VARIETY PACK|6 PACK,Deep Eddy Vodka + Soda Variety Pack,6 Pack,true,7,8.0000,143.92,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DELIVERY FEE|,Delivery Fee,,true,22,22.0000,98.78,EXCLUDE,,,,owner_approved_non_merchandise_exclusion,Excluded from canonical beverage sales.
0||DEWAR S 15 YEAR OLD THE MONARCH SPECIAL RESERVE BLENDED SCOTCH WHISKY|750ML,Dewar's 15 Year Old The Monarch Special Reserve Blended Scotch Whisky,750ML,true,1,1.0000,38.40,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DEWAR S 15YRS MONARCH RESERVE BLENDED|750ML,Dewar's 15Yrs Monarch Reserve Blended,750ML,true,5,5.0000,239.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DEWAR S 8YRS CARIBBEAN SMOOTH RUM CASK|750ML,Dewar's 8Yrs Caribbean Smooth Rum Cask,750ML,true,10,37.0000,1290.84,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DEZZANI MOSCATO|750ML,Dezzani Moscato,750ML,true,1,1.0000,12.99,MAP,41318441254987,Dezzani Moscato,750ML,unique_exact_catalog_identity,Normalized product identity and package uniquely agree.
0||DIO TAHITIAN VANILLA ESPRESSO MARTINI SINGLE CAN|200ML,DIO Tahitian Vanilla Espresso Martini Single Can,200ML,true,5,8.0000,43.92,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DIO TAHITIAN VANILLA ESPRESSO MARTINI|200ML,DIO Tahitian Vanilla Espresso Martini,200ML,true,6,6.0000,125.94,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DIO TAHITIAN VANILLA ESPRESSO MARTINI|4PK 200ML CANS,DIO Tahitian Vanilla Espresso Martini,4pk-200ML Cans,true,3,3.0000,41.98,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||DRUMSHANBO GUNPOWDER IRISH GIN GIFT PACK|750ML,Drumshanbo Gunpowder Irish Gin Gift Pack,750ML,true,5,5.0000,184.95,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||E11EVEN VODKA|750ML,E11even Vodka,750ML,true,3,3.0000,68.97,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||EL MAYOR REPOSADO|750ML,El Mayor Reposado,750Ml,true,5,7.0000,262.56,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||ELIJAH CRAIG 15 YEARS|,Elijah craig 15 years,,true,1,1.0000,159.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||EVAN WILLIAMS BOTTLED IN BOND|1.75L,Evan Williams Bottled-in-Bond,1.75L,true,12,12.0000,443.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||EVAN WILLIAMS BOTTLED IN BOND|1L,Evan Williams Bottled-in-Bond,1L,true,12,12.0000,311.88,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||FIVE FARMS SHOT|,Five Farms Shot,,true,1,1.0000,2.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||FIVE TRAIL BARREL PROOF BLEND WHISKY|750ML,Five Trail Barrel Proof Blend Whisky,750ML,true,1,1.0000,59.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||FRUITFUL MIXOLOGY SMOKED JALAPENO LIQUEUR|1L,Fruitful Mixology Smoked Jalapeno Liqueur,1L,true,6,6.0000,122.46,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||GEORGE T STAGG|,George T Stagg,,true,1,1.0000,349.99,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||GIFT BAG|,Gift Bag,,true,2,2.0000,3.24,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||GIRLAN PG|750ML,Girlan Pinot Grigio,750ML,true,10,9.0000,177.92,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
0||GLENLIVET 14 YEAR SINGLE MALT SCOTCH|1L,Glenlivet 14 Year Single Malt Scotch,1L,true,2,6.0000,469.74,LEAVE_UNRESOLVED,,,,no_unique_exact_catalog_identity,No qualifying unique canonical identity.
