price_id,offer_id,price_state,effective_month,level_type,break_qty,break_unit,case_price,unit_price,source_file,source_page,extraction_confidence,verified,notes,created_at
11,4,current,2026-08-01,BASE,1.0,BASE,178.9,7.45,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.66; current-minus-closest $0.00.,2026-08-07 19:21:02
12,4,current,2026-08-01,BREAK,3.0,CS,159.9,6.66,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.66; current-minus-closest $0.00.,2026-08-07 19:21:02
13,5,current,2026-08-01,BASE,1.0,BASE,90.0,0.75,Southern Glazers Price Book.pdf,231,VERIFIED,1,50ML package format chosen for standard economic schedule. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.75; current-minus-closest $0.00.,2026-08-07 19:21:02
14,5,current,2026-08-01,BREAK,5.0,CS,82.8,0.69,Southern Glazers Price Book.pdf,231,VERIFIED,1,50ML package format chosen for standard economic schedule. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.75; current-minus-closest $0.00.,2026-08-07 19:21:02
15,5,current,2026-08-01,BREAK,20.0,CS,70.8,0.59,Southern Glazers Price Book.pdf,231,VERIFIED,1,50ML package format chosen for standard economic schedule. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.75; current-minus-closest $0.00.,2026-08-07 19:21:02
16,6,current,2026-08-01,BASE,1.0,BASE,211.1,17.59,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.59; current-minus-closest $0.00.,2026-08-07 19:21:02
17,6,current,2026-08-01,BREAK,2.0,CS,172.68,14.39,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.59; current-minus-closest $0.00.,2026-08-07 19:21:02
18,6,current,2026-08-01,BREAK,3.0,CS,163.08,13.59,Southern Glazers Price Book.pdf,231,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.59; current-minus-closest $0.00.,2026-08-07 19:21:02
19,7,current,2026-08-01,BASE,1.0,BASE,156.0,26.0,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $24.00; current-minus-closest $0.00.,2026-08-07 19:21:02
20,7,current,2026-08-01,BREAK,2.0,CS,152.0,25.33,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $24.00; current-minus-closest $0.00.,2026-08-07 19:21:02
21,7,current,2026-08-01,BREAK,3.0,CS,144.0,24.0,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $24.00; current-minus-closest $0.00.,2026-08-07 19:21:02
22,8,current,2026-08-01,BASE,1.0,BASE,104.0,4.33,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $4.33; current-minus-closest $0.00.,2026-08-07 19:21:02
23,9,current,2026-08-01,BASE,1.0,BASE,88.0,7.33,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $7.33; current-minus-closest $0.00.,2026-08-07 19:21:02
24,10,current,2026-08-01,BASE,1.0,BASE,184.0,15.33,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.,2026-08-07 19:21:02
25,10,current,2026-08-01,BREAK,2.0,CS,176.0,14.67,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.,2026-08-07 19:21:02
26,10,current,2026-08-01,BREAK,3.0,CS,168.0,14.0,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.,2026-08-07 19:21:02
27,10,current,2026-08-01,BREAK,5.0,CS,160.0,13.33,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.,2026-08-07 19:21:02
28,10,current,2026-08-01,BREAK,20.0,CS,152.0,12.67,Empire August Book.pdf,142,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.,2026-08-07 19:21:02
29,11,current,2026-08-01,BASE,1.0,BASE,120.0,10.0,Empire August Book.pdf,125,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
30,11,current,2026-08-01,BREAK,3.0,CS,112.0,9.33,Empire August Book.pdf,125,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
31,11,current,2026-08-01,BREAK,5.0,CS,104.0,8.67,Empire August Book.pdf,125,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
32,12,current,2026-08-01,BASE,1.0,BASE,168.0,14.0,Southern Glazers Price Book.pdf,103,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.,2026-08-07 19:21:02
33,12,current,2026-08-01,BREAK,2.0,CS,160.0,13.33,Southern Glazers Price Book.pdf,103,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.,2026-08-07 19:21:02
34,12,current,2026-08-01,BREAK,5.0,CS,152.0,12.67,Southern Glazers Price Book.pdf,103,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.,2026-08-07 19:21:02
35,12,current,2026-08-01,BREAK,10.0,CS,144.0,12.0,Southern Glazers Price Book.pdf,103,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.,2026-08-07 19:21:02
36,12,current,2026-08-01,BREAK,25.0,CS,136.0,11.33,Southern Glazers Price Book.pdf,103,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.,2026-08-07 19:21:02
37,12,current,2026-08-01,BREAK,56.0,CS,124.0,10.33,Southern Glazers Price Book.pdf,103,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $12.67; current-minus-closest $0.00.,2026-08-07 19:21:02
38,13,current,2026-08-01,BASE,1.0,BASE,64.04,10.67,Empire August Book.pdf,115,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.86; current-minus-closest $0.00.,2026-08-07 19:21:02
39,13,current,2026-08-01,BREAK,2.0,CS,60.02,10.0,Empire August Book.pdf,115,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.86; current-minus-closest $0.00.,2026-08-07 19:21:02
40,13,current,2026-08-01,BREAK,3.0,CS,56.0,9.33,Empire August Book.pdf,115,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.86; current-minus-closest $0.00.,2026-08-07 19:21:02
41,13,current,2026-08-01,BREAK,5.0,CS,41.18,6.86,Empire August Book.pdf,115,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.86; current-minus-closest $0.00.,2026-08-07 19:21:02
42,13,current,2026-08-01,BREAK,12.0,CS,37.14,6.19,Empire August Book.pdf,115,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $6.86; current-minus-closest $0.00.,2026-08-07 19:21:02
43,14,current,2026-08-01,BASE,1.0,BASE,231.01,38.5,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $30.44; current-minus-closest $-0.01.,2026-08-07 19:21:02
44,14,current,2026-08-01,BREAK,5.0,CS,203.79,33.96,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $30.44; current-minus-closest $-0.01.,2026-08-07 19:21:02
45,14,current,2026-08-01,BREAK,10.0,CS,182.63,30.44,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $30.44; current-minus-closest $-0.01.,2026-08-07 19:21:02
46,14,current,2026-08-01,BREAK,30.0,CS,177.85,29.64,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $30.44; current-minus-closest $-0.01.,2026-08-07 19:21:02
47,15,current,2026-08-01,BASE,1.0,BASE,326.72,27.23,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $21.93; current-minus-closest $0.00.,2026-08-07 19:21:02
48,15,current,2026-08-01,BREAK,2.0,CS,297.35,24.78,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $21.93; current-minus-closest $0.00.,2026-08-07 19:21:02
49,15,current,2026-08-01,BREAK,5.0,CS,278.15,23.18,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $21.93; current-minus-closest $0.00.,2026-08-07 19:21:02
50,15,current,2026-08-01,BREAK,10.0,CS,263.15,21.93,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $21.93; current-minus-closest $0.00.,2026-08-07 19:21:02
51,16,current,2026-08-01,BASE,1.0,BASE,155.49,6.48,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $5.52; current-minus-closest $0.00.,2026-08-07 19:21:02
52,16,current,2026-08-01,BREAK,4.0,CS,132.44,5.52,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $5.52; current-minus-closest $0.00.,2026-08-07 19:21:02
53,17,current,2026-08-01,BASE,1.0,BASE,130.79,10.9,Southern Glazers Price Book.pdf,311,VERIFIED,1,Shopify current cost is $9.04 vs price-book $9.05; 1¢ variance flagged. Current-cost validation: Exact / 1¢; closest published cost $9.05; current-minus-closest $-0.01.,2026-08-07 19:21:02
54,17,current,2026-08-01,BREAK,4.0,CS,108.56,9.05,Southern Glazers Price Book.pdf,311,VERIFIED,1,Shopify current cost is $9.04 vs price-book $9.05; 1¢ variance flagged. Current-cost validation: Exact / 1¢; closest published cost $9.05; current-minus-closest $-0.01.,2026-08-07 19:21:02
55,18,current,2026-08-01,BASE,1.0,BASE,119.45,1.99,Southern Glazers Price Book.pdf,311,HIGH,1,Price book uses a packaged mini sleeve line; economics match Shopify current $1.29 cost. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.29; current-minus-closest $0.00.,2026-08-07 19:21:02
56,18,current,2026-08-01,BREAK,4.0,CS,77.62,1.29,Southern Glazers Price Book.pdf,311,HIGH,1,Price book uses a packaged mini sleeve line; economics match Shopify current $1.29 cost. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.29; current-minus-closest $0.00.,2026-08-07 19:21:02
57,19,current,2026-08-01,BASE,1.0,BASE,252.08,21.01,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $16.53; current-minus-closest $0.00.,2026-08-07 19:21:02
58,19,current,2026-08-01,BREAK,5.0,CS,198.41,16.53,Southern Glazers Price Book.pdf,311,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $16.53; current-minus-closest $0.00.,2026-08-07 19:21:02
59,20,current,2026-08-01,BASE,1.0,BASE,56.0,28.0,Empire August Book.pdf,77,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.,2026-08-07 19:21:02
60,20,current,2026-08-01,BREAK,2.0,CS,50.0,25.0,Empire August Book.pdf,77,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.,2026-08-07 19:21:02
61,20,current,2026-08-01,BREAK,10.0,CS,46.0,23.0,Empire August Book.pdf,77,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.,2026-08-07 19:21:02
62,21,current,2026-08-01,BASE,1.0,BASE,144.0,12.0,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.,2026-08-07 19:21:02
63,21,current,2026-08-01,BREAK,12.0,BT,,10.67,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.,2026-08-07 19:21:02
64,21,current,2026-08-01,BREAK,60.0,BT,,9.33,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.,2026-08-07 19:21:02
65,22,current,2026-08-01,BASE,1.0,BASE,176.0,14.67,Southern Glazers Price Book.pdf,104,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
66,22,current,2026-08-01,BREAK,3.0,CS,160.0,13.33,Southern Glazers Price Book.pdf,104,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
67,22,current,2026-08-01,BREAK,5.0,CS,152.0,12.67,Southern Glazers Price Book.pdf,104,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
68,22,current,2026-08-01,BREAK,10.0,CS,144.0,12.0,Southern Glazers Price Book.pdf,104,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
69,22,current,2026-08-01,BREAK,20.0,CS,136.0,11.33,Southern Glazers Price Book.pdf,104,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
70,22,current,2026-08-01,BREAK,28.0,CS,128.0,10.67,Southern Glazers Price Book.pdf,104,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
71,23,current,2026-08-01,BASE,1.0,BASE,66.0,22.0,Empire August Book.pdf,85,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.,2026-08-07 19:21:02
72,23,current,2026-08-01,BREAK,2.0,CS,51.0,17.0,Empire August Book.pdf,85,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.,2026-08-07 19:21:02
73,23,current,2026-08-01,BREAK,7.0,CS,46.0,15.33,Empire August Book.pdf,85,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.,2026-08-07 19:21:02
74,24,current,2026-08-01,BASE,1.0,BASE,40.0,3.33,Empire August Book.pdf,85,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $3.33; current-minus-closest $0.00.,2026-08-07 19:21:02
75,25,current,2026-08-01,BASE,1.0,BASE,112.0,9.33,Empire August Book.pdf,84,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
76,25,current,2026-08-01,BREAK,2.0,CS,104.0,8.67,Empire August Book.pdf,84,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
77,25,current,2026-08-01,BREAK,5.0,CS,96.0,8.0,Empire August Book.pdf,84,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
78,25,current,2026-08-01,BREAK,15.0,CS,88.0,7.33,Empire August Book.pdf,84,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.,2026-08-07 19:21:02
79,26,current,2026-08-01,BASE,1.0,BASE,152.46,25.41,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
80,26,current,2026-08-01,BREAK,3.0,CS,129.96,21.66,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
81,26,current,2026-08-01,BREAK,5.0,CS,124.98,20.83,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
82,26,current,2026-08-01,BREAK,10.0,CS,122.46,20.41,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
83,26,current,2026-08-01,BREAK,25.0,CS,119.94,19.99,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
84,26,current,2026-08-01,BREAK,50.0,CS,114.96,19.16,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
85,26,current,2026-08-01,BREAK,75.0,CS,101.94,16.99,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.,2026-08-07 19:21:02
86,27,current,2026-08-01,BASE,1.0,BASE,219.96,18.33,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
87,27,current,2026-08-01,BREAK,3.0,CS,189.96,15.83,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
88,27,current,2026-08-01,BREAK,5.0,CS,179.88,14.99,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
89,27,current,2026-08-01,BREAK,10.0,CS,159.96,13.33,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.,2026-08-07 19:21:02
90,28,current,2026-08-01,BASE,1.0,BASE,189.12,3.94,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $3.94; current-minus-closest $0.00.,2026-08-07 19:21:02
91,28,current,2026-08-01,BREAK,3.0,CS,176.64,3.68,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $3.94; current-minus-closest $0.00.,2026-08-07 19:21:02
92,29,current,2026-08-01,BASE,1.0,BASE,151.68,6.32,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $5.76; current-minus-closest $0.00.,2026-08-07 19:21:02
93,29,current,2026-08-01,BREAK,3.0,CS,138.24,5.76,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $5.76; current-minus-closest $0.00.,2026-08-07 19:21:02
94,30,current,2026-08-01,BASE,1.0,BASE,180.0,1.5,Southern Glazers Price Book.pdf,298,VERIFIED,1,User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.00; current-minus-closest $0.00.,2026-08-07 19:21:02
95,30,current,2026-08-01,BREAK,3.0,CS,120.0,1.0,Southern Glazers Price Book.pdf,298,VERIFIED,1,User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.00; current-minus-closest $0.00.,2026-08-07 19:21:02
96,31,current,2026-08-01,BASE,1.0,BASE,165.0,13.75,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.60; current-minus-closest $0.00.,2026-08-07 19:21:02
97,31,current,2026-08-01,BREAK,3.0,CS,144.0,12.0,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.60; current-minus-closest $0.00.,2026-08-07 19:21:02
98,31,current,2026-08-01,BREAK,5.0,CS,139.2,11.6,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.60; current-minus-closest $0.00.,2026-08-07 19:21:02
99,31,current,2026-08-01,BREAK,10.0,CS,135.0,11.25,Southern Glazers Price Book.pdf,298,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.60; current-minus-closest $0.00.,2026-08-07 19:21:02
100,32,current,2026-08-01,BASE,1.0,BASE,160.0,13.33,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.,2026-08-07 19:21:02
101,32,current,2026-08-01,BREAK,12.0,BT,,10.67,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.,2026-08-07 19:21:02
102,32,current,2026-08-01,BREAK,84.0,BT,,9.33,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.,2026-08-07 19:21:02
103,33,current,2026-08-01,BASE,1.0,BASE,168.0,14.0,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.,2026-08-07 19:21:02
104,33,current,2026-08-01,BREAK,12.0,BT,,12.0,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.,2026-08-07 19:21:02
105,33,current,2026-08-01,BREAK,36.0,BT,,11.33,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.,2026-08-07 19:21:02
106,33,current,2026-08-01,BREAK,84.0,BT,,10.67,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.,2026-08-07 19:21:02
107,33,current,2026-08-01,BREAK,336.0,BT,,10.0,Southern Glazers Price Book.pdf,101,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.,2026-08-07 19:21:02
108,34,current,2026-08-01,BASE,1.0,BASE,191.84,7.99,Empire August Book.pdf,120,VERIFIED,1,Price book says sizes do not assort; user instructed us to treat sizes as assortable for this working model. Current-cost validation: No exact current-tier match; closest published cost $7.99; current-minus-closest $-0.50.,2026-08-07 19:21:02
109,35,current,2026-08-01,BASE,1.0,BASE,234.0,19.5,Empire August Book.pdf,120,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $19.50; current-minus-closest $0.00.,2026-08-07 19:21:02
110,35,current,2026-08-01,BREAK,2.0,CS,222.0,18.5,Empire August Book.pdf,120,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $19.50; current-minus-closest $0.00.,2026-08-07 19:21:02
111,35,current,2026-08-01,BREAK,5.0,CS,210.0,17.5,Empire August Book.pdf,120,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $19.50; current-minus-closest $0.00.,2026-08-07 19:21:02
112,35,current,2026-08-01,BREAK,10.0,CS,195.0,16.25,Empire August Book.pdf,120,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $19.50; current-minus-closest $0.00.,2026-08-07 19:21:02
113,36,current,2026-08-01,BASE,1.0,BASE,56.0,28.0,Empire August Book.pdf,77,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.,2026-08-07 19:21:02
114,36,current,2026-08-01,BREAK,2.0,CS,50.0,25.0,Empire August Book.pdf,77,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.,2026-08-07 19:21:02
115,36,current,2026-08-01,BREAK,10.0,CS,46.0,23.0,Empire August Book.pdf,77,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.,2026-08-07 19:21:02
116,37,current,2026-08-01,BASE,1.0,BASE,68.0,11.33,Empire August Book.pdf,82,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.00; current-minus-closest $0.00.,2026-08-07 19:21:02
117,37,current,2026-08-01,BREAK,5.0,CS,60.0,10.0,Empire August Book.pdf,82,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.00; current-minus-closest $0.00.,2026-08-07 19:21:02
118,37,current,2026-08-01,BREAK,10.0,CS,56.0,9.33,Empire August Book.pdf,82,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.00; current-minus-closest $0.00.,2026-08-07 19:21:02
119,37,current,2026-08-01,BREAK,30.0,CS,52.0,8.67,Empire August Book.pdf,82,VERIFIED,1,Current-cost validation: Exact / 1¢; closest published cost $10.00; current-minus-closest $0.00.,2026-08-07 19:21:02
120,38,current,2026-08-01,BASE,1.0,BASE,40.0,1.6666667,Empire August Book.pdf,82,REVIEW,0,"Shopify variant is titled 187ML but current cost is $5.32, which does not match an individual 187ML bottle. Likely a multi-pack packaging mismatch; do not use this price-book unit cost until store packaging is confirmed. Current-cost validation: Manual review; closest published cost $1.67; current-minus-closest $3.65.",2026-08-07 19:21:02
