offer_id,variant_id,vendor_name,supplier_sku,supplier_description,package_type,size_text,raw_pack,shopify_units_per_case,assortment_group,assortable_working,allocation_limit,active,valid_from,valid_to,replaces_offer_id,source,confidence,notes
25,41157550080075,Empire Merchants North,3016659-I,CHARDONNAY,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $0.00.
26,42913404420171,Southern Glazers,387122,NO. 21 RED VODKA 80 PET,STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $20.83; current-minus-closest $0.00.
27,42913404387403,Southern Glazers,390982,NO. 21 RED VODKA 80,STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $13.33; current-minus-closest $0.00.
28,42913404289099,Southern Glazers,376873,NO. 21 RED VODKA 80 PET,STANDARD,200ML,48,48.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $3.94; current-minus-closest $0.00.
29,42913404321867,Southern Glazers,378937,NO. 21 RED VODKA 80 PET,STANDARD,375ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $5.76; current-minus-closest $0.00.
30,41318378733643,Southern Glazers,636723,VODKA NO.21 80 PET 12/10P,STANDARD,50ML,50ML / 120 minis,120.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.00; current-minus-closest $0.00.
31,42913404354635,Southern Glazers,384340,NO. 21 RED VODKA 80,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $11.60; current-minus-closest $0.00.
32,41157208506443,Southern Glazers,952170,CHARDONNAY,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.
33,41157208440907,Southern Glazers,975058,CABERNET SAUV,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.
34,41462550462539,Empire Merchants North,3019683-F,COTES DE PROVENCE ROSE,STANDARD,375ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Price book says sizes do not assort; user instructed us to treat sizes as assortable for this working model. Current-cost validation: No exact current-tier match; closest published cost $7.99; current-minus-closest $-0.50.
35,42913416380491,Empire Merchants North,3019244-F,COTES DE PROVENCE ROSE,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $19.50; current-minus-closest $0.00.
36,41716810580043,Empire Merchants North,3004690-G,HARD SELTZER VARIETY PACK (2 12-PACKS),STANDARD,12pk-12oz Cans,355/24 cans = 2 x 12pk,2.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $23.00; current-minus-closest $0.00.
37,41157274337355,Empire Merchants North,9006138-G,PINOT GRIGIO,STANDARD,1.5L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.00; current-minus-closest $0.00.
38,42913399832651,Empire Merchants North,9253411-G,PINOT GRIGIO PET,STANDARD,187ML,187/24 PET,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,REVIEW,"Shopify variant is titled 187ML but current cost is $5.32, which does not match an individual 187ML bottle. Likely a multi-pack packaging mismatch; do not use this price-book unit cost until store packaging is confirmed. Current-cost validation: Manual review; closest published cost $1.67; current-minus-closest $3.65."
39,42913399799883,Empire Merchants North,9006139-G,PINOT GRIGIO,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $5.33; current-minus-closest $0.00.
40,41193000796235,Empire Merchants North,3014701-G,TEQUILA SELTZER FIESTA PACK (3 8-PACKS),STANDARD,8pk-12oz cans,355/24 cans = 3 x 8pk,3.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Shopify cost is $16.64 vs price-book normalized $16.67 at 5CS; 3¢ variance flagged. Current-cost validation: Close ≤5¢; closest published cost $16.67; current-minus-closest $-0.03.
41,41157208604747,Southern Glazers,338992,PINOT NOIR 12,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $11.33; current-minus-closest $0.00.
42,42913415594059,Empire Merchants North,3019711-P,BOTA BOX CORE PINOT GRIGIO,STANDARD,3L,3/3,3.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.
43,41156899438667,Empire Merchants North,3019746-P,BOTA BOX CORE PINOT GRIGIO,STANDARD,500ML,500/12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $3.33; current-minus-closest $0.00.
44,41154907242571,Empire Merchants North,3019400-F,VIN DE PROVENCE ROSE,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $14.99; current-minus-closest $0.00.
45,41154907144267,Empire Merchants North,3018376-F,ALTOS DE PLATA MALBEC ALTOS,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,HIGH,"Shopify SKU differs from current price-book code, but brand/size/current $7.69 cost align exactly to this 3CS level. Current-cost validation: Exact / 1¢; closest published cost $7.69; current-minus-closest $0.00."
46,42913403306059,Southern Glazers,656185,SVEDKA VODKA 80,STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $17.69; current-minus-closest $0.00.
47,42913403273291,Southern Glazers,656186,SVEDKA VODKA 80,STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.40; current-minus-closest $0.00.
48,42913403240523,Southern Glazers,683299,SVEDKA VODKA 80 PET,STANDARD,375ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $4.99; current-minus-closest $0.00.
49,41318378078283,Southern Glazers,669024,SVEDKA VODKA 80 PET 12/10 PK,STANDARD,50ML,50ML / 120 minis,120.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Shopify current cost is $0.68 vs price-book base $0.67; 1¢ variance flagged. User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.67; current-minus-closest $0.01.
50,42913373192267,Southern Glazers,984502,BLACK VELVET CANADIAN 80,STANDARD,1.5L,Price book: 1.75L / 6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,REVIEW,"Shopify variant is labeled 1.5L, but current price book standard large format is 1.75L. Shopify current $22.40 cost exactly matches the 1.75L 3CS tier. Verify bottle size label before ordering. Current-cost validation: Manual review; closest published cost $22.40; current-minus-closest $0.00."
51,42913373159499,Southern Glazers,984395,BLACK VELVET CANADIAN 80,STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $14.40; current-minus-closest $0.00.
52,42913373126731,Southern Glazers,984500,BLACK VELVET CANADIAN 80,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $9.60; current-minus-closest $0.00.
53,42913415069771,Empire Merchants North,9042393-P,RELAX RIESLING,STANDARD,1.5L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $17.33; current-minus-closest $0.00.
54,42913415102539,Empire Merchants North,3019703-P,RELAX RIESLING,STANDARD,3L,3L / 4,4.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $20.00; current-minus-closest $0.00.
55,41156903174219,Empire Merchants North,1668243-P,RELAX RIESLING,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.00; current-minus-closest $0.00.
56,41157275025483,Empire Merchants North,3004081-G,BLACK BOX PINOT NOIR,STANDARD,3L,3L / 6 BIB,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.
57,42913399013451,Empire Merchants North,3004090-G,BLACK BOX PINOT NOIR,STANDARD,500ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $3.33; current-minus-closest $0.00.
58,41184289849419,Southern Glazers,88386,CABERNET SAUVIGNON SEVEN OAKS,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,HIGH,Generic Shopify title maps to J. Lohr Seven Oaks: 750ML and current $14.00 cost match the 3CS tier. Current-cost validation: Exact / 1¢; closest published cost $14.00; current-minus-closest $0.00.
59,41315828138059,Southern Glazers,28727,SUPERIOR RUM WHITE 80,STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Shopify current cost $20.65 is not an exact August price-book tier; it falls between the 25CS and 50CS published costs. Current-cost validation: No exact current-tier match; closest published cost $19.99; current-minus-closest $0.66.
60,42913413627979,Southern Glazers,980567,SUPERIOR WHITE 80,STANDARD,100ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,User instructed us to treat 100ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $2.00; current-minus-closest $0.00.
61,42913413660747,Southern Glazers,980397,SUPERIOR WHITE 80,STANDARD,200ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $3.78; current-minus-closest $0.00.
62,42913413595211,Southern Glazers,28730,SUPERIOR WHITE 80,STANDARD,375ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $6.45; current-minus-closest $0.00.
63,42913413693515,Southern Glazers,28732,SUPERIOR WHITE 12/10PK,STANDARD,50ML,50ML / 120 minis,120.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,User instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.99; current-minus-closest $0.00.
64,42913413562443,Southern Glazers,28729,SUPERIOR WHITE 80,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $13.15; current-minus-closest $0.00.
65,42913404846155,Southern Glazers,992250,SKYY VODKA 80,STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $20.80; current-minus-closest $0.00.
66,42913404813387,Southern Glazers,992254,SKYY VODKA 80,STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $12.80; current-minus-closest $0.00.
67,42913404715083,Southern Glazers,992253,SKYY VODKA 80 PET,STANDARD,200ML,24,24.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $3.70; current-minus-closest $0.00.
68,42913404747851,Southern Glazers,992252,SKYY VODKA 80,STANDARD,375ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $5.90; current-minus-closest $0.00.
69,41318379028555,Southern Glazers,683924,SKYY VODKA 80 PET 12/10PK,STANDARD,50ML,50ML / 120 minis,120.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Price book threshold notation is preserved as BT; user instructed us to treat 50ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $1.00; current-minus-closest $0.00.
70,42913404780619,Southern Glazers,992251,SKYY VODKA 80,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.40; current-minus-closest $0.00.
71,41156899799115,Empire Merchants North,3021299-I,PINOT NOIR,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current Shopify cost $10.66 is 1¢ below book's $10.67 2CS tier; treated as minor invoice/rounding variance. Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $-0.01.
72,41157550047307,Empire Merchants North,3019156-I,CABERNET SAUVIGNON,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $8.67; current-minus-closest $-0.01.
73,41716813594699,Empire Merchants North,3017361-P / 3020553-P,SANDBAGGER VARIETY PACK (3/8PK),STANDARD,8pk-12oz Cans,355/24 cans = 3 x 8pk,3.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,HIGH,"Shopify title does not identify Gin vs Vodka variety. Both current price-book variety packs have the same case and break schedule, so economics are identical. Current-cost validation: Close ≤5¢; closest published cost $15.07; current-minus-closest $-0.03."
74,41156899242059,Empire Merchants North,3019720-P,NIGHTHAWK BB CABERNET SAUVIGNON,STANDARD,3L,3/3,3.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,"Shopify product type says Bourbon, but product title and price book identify this as wine. Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00."
75,41980972171339,Southern Glazers,614386,SEASWEPT(SC),STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.
76,42913389543499,Empire Merchants North,9185657-I,DEEP EDDY LEMON VODKA 70º (K),STANDARD,1.75L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $24.99; current-minus-closest $0.00.
77,42913389510731,Empire Merchants North,9185656-I,DEEP EDDY LEMON VODKA 70º (K),STANDARD,1L,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $17.89; current-minus-closest $0.00.
78,42913389477963,Empire Merchants North,9185658-I,DEEP EDDY LEMON VODKA 70º (K),STANDARD,375ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $7.43; current-minus-closest $0.00.
79,41318371131467,Empire Merchants North,3005446-I,DEEP EDDY LEMON VODKA 70º (K),STANDARD,50ML,50/120 (10),120.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Price book says 50ML does not assort; user explicitly instructed the model to treat 50ML/100ML as assortable. Current-cost validation: Exact / 1¢; closest published cost $0.99; current-minus-closest $0.00.
108,42913380204619,Empire Merchants North,3019171-P,SAUVIGNON BLANC BAGNUM POUCH,STANDARD,1.5L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,HIGH,Price book describes the 1.5L as a BAGNUM pouch; Shopify variant title is only 1.5L. Current-cost validation: Exact / 1¢; closest published cost $15.33; current-minus-closest $0.00.
111,41157730205771,Empire Merchants North,9004108-P,SAUVIGNON BLANC MARLBOROUGH (SC),STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.
165,41157556994123,Empire Merchants North,3021624-I,SAUVIGNON BLANC,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $11.67; current-minus-closest $0.00.
170,41157555683403,Empire Merchants North,3015819-I,HESS SELECT CHARDONNAY (CALIFORNIA),STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.
344,41157215649867,Southern Glazers,928002,CHARD SUPER CRISP,STANDARD,1.5L,6,6.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,VERIFIED,Current-cost validation: Exact / 1¢; closest published cost $10.67; current-minus-closest $0.00.
348,42913401208907,Southern Glazers,59565,CHARDONNAY,STANDARD,750ML,12,12.0,,1,,1,2026-08-01,,,Buffalo_House_Case_Break_Planning_Mined.xlsx,HIGH,Price book labels the 750ML line CHARDONNAY rather than CHARD SUPER CRISP. Current Shopify $5.34 cost exactly matches the 3CS 750ML Chardonnay tier; verify label if desired. Current-cost validation: Exact / 1¢; closest published cost $5.34; current-minus-closest $0.00.
